KNr	A	B	C	Gene	Function
K13205	brite hierarchies	protein families: genetic information processing	spliceosome [br:ko03041]	AAR2, C20orf4	A1 cistron-splicing factor AAR2
K13206	brite hierarchies	protein families: genetic information processing	spliceosome [br:ko03041]	CCDC55	coiled-coil domain-containing protein 55
K13207	brite hierarchies	protein families: genetic information processing	spliceosome [br:ko03041]	CUGBP, BRUNOL, CELF	CUG-BP- and ETR3-like factor
K13208	brite hierarchies	protein families: genetic information processing	general protein families: genetic information processing	ELAVL2_3_4	ELAV like protein 2/3/4
K13209	multiple functions	multiple functions	multiple functions	EWSR1	RNA-binding protein EWS
K13210	brite hierarchies	protein families: genetic information processing	general protein families: genetic information processing	FUBP	far upstream element-binding protein
K13211	brite hierarchies	protein families: genetic information processing	spliceosome [br:ko03041]	GCFC	GC-rich sequence DNA-binding factor
K13212	brite hierarchies	protein families: genetic information processing	spliceosome [br:ko03041]	LUC7L2	RNA-binding protein Luc7-like 2
K13213	multiple functions	multiple functions	multiple functions	MATR3	matrin 3
K13214	brite hierarchies	protein families: genetic information processing	spliceosome [br:ko03041]	NONO, NRB54	non-POU domain-containing octamer-binding protein
K13215	brite hierarchies	protein families: genetic information processing	spliceosome [br:ko03041]	NRIP2	nuclear receptor-interacting protein 2
K13216	brite hierarchies	general brite hierarchies	general brite hierarchies	PPP1R8, NIPP1	nuclear inhibitor of protein phosphatase 1 [EC:3.1.4.-]
K13217	brite hierarchies	protein families: genetic information processing	spliceosome [br:ko03041]	PRPF39, PRP39	pre-mRNA-processing factor 39
K13218	brite hierarchies	protein families: genetic information processing	general protein families: genetic information processing	PTBP1, PTB	polypyrimidine tract-binding protein 1
K13219	brite hierarchies	general brite hierarchies	general brite hierarchies	SFPQ, PSF	splicing factor, proline- and glutamine-rich
K13220	brite hierarchies	protein families: genetic information processing	spliceosome [br:ko03041]	WBP4, FBP21	WW domain-binding protein 4
K13221	brite hierarchies	protein families: genetic information processing	spliceosome [br:ko03041]	WDR77, MEP50	methylosome protein 50
K13222	metabolism	biosynthesis of other secondary metabolites	benzoxazinoid biosynthesis [path:ko00402]	BX1, IGL	indole-3-glycerol-phosphate lyase [EC:4.1.2.8]
K13223	multiple functions	multiple functions	multiple functions	BX2, CYP71C4, CYP71C9	indole-2-monooxygenase [EC:1.14.14.153]
K13224	multiple functions	multiple functions	multiple functions	BX3, CYP71C2, CYP71C7	indolin-2-one monooxygenase [EC:1.14.14.157]
K13225	multiple functions	multiple functions	multiple functions	BX4, CYP71C1, CYP71C6	3-hydroxyindolin-2-one monooxygenase [EC:1.14.14.109]
K13226	multiple functions	multiple functions	multiple functions	BX5, CYP71C3, CYP71C8	2-hydroxy-1,4-benzoxazin-3-one monooxygenase [EC:1.14.14.110]
K13227	metabolism	biosynthesis of other secondary metabolites	benzoxazinoid biosynthesis [path:ko00402]	BX8_9	UDP-glucosyltransferase BX8/BX9 [EC:2.4.1.202]
K13229	metabolism	biosynthesis of other secondary metabolites	benzoxazinoid biosynthesis [path:ko00402]	BX6	2,4-dihydroxy-1,4-benzoxazin-3-one-glucoside dioxygenase [EC:1.14.11.59]
K13230	metabolism	biosynthesis of other secondary metabolites	benzoxazinoid biosynthesis [path:ko00402]	BX7	2,4,7-trihydroxy-1,4-benzoxazin-3-one-glucoside 7-O-methyltransferase [EC:2.1.1.241]
K13231	multiple functions	multiple functions	multiple functions	STS	pinosylvin synthase [EC:2.3.1.146]
K13232	multiple functions	multiple functions	multiple functions	ST	stilbene synthase [EC:2.3.1.95]
K13233	multiple functions	multiple functions	multiple functions	DCS	phenylpropanoylacetyl-CoA synthase [EC:2.3.1.218]
K13234	multiple functions	multiple functions	multiple functions	CURS1_2	curcumin synthase [EC:2.3.1.217]
K13235	metabolism	biosynthesis of other secondary metabolites	stilbenoid, diarylheptanoid and gingerol biosynthesis [path:ko00945]	CAUGT2	UDP-glucose glucosyltransferase [EC:2.4.1.-]
K13236	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	DECR1	2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial [EC:1.3.1.124]
K13237	cellular processes	transport and catabolism	peroxisome [path:ko04146]	DECR2, SPS19	2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], peroxisomal [EC:1.3.1.124]
K13238	metabolism	lipid metabolism	fatty acid degradation [path:ko00071]	ECI1, DCI	Delta3-Delta2-enoyl-CoA isomerase [EC:5.3.3.8]
K13239	multiple functions	multiple functions	multiple functions	ECI2, PECI	Delta3-Delta2-enoyl-CoA isomerase [EC:5.3.3.8]
K13240	multiple functions	multiple functions	multiple functions	NOS1	nitric-oxide synthase, brain [EC:1.14.13.39]
K13241	multiple functions	multiple functions	multiple functions	NOS2	nitric-oxide synthase, inducible [EC:1.14.13.39]
K13242	multiple functions	multiple functions	multiple functions	NOS3	nitric-oxide synthase, endothelial [EC:1.14.13.39]
K13243	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	dos	c-di-GMP-specific phosphodiesterase [EC:3.1.4.52]
K13244	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	yahA	c-di-GMP-specific phosphodiesterase [EC:3.1.4.52]
K13245	cellular processes	cell growth and death	cell cycle - caulobacter [path:ko04112]	pdeA	c-di-GMP-specific phosphodiesterase [EC:3.1.4.52]
K13246	cellular processes	cellular community - prokaryotes	biofilm formation - vibrio cholerae [path:ko05111]	vieA	c-di-GMP phosphodiesterase [EC:3.1.4.52]
K13247	metabolism	carbohydrate metabolism	pentose and glucuronate interconversions [path:ko00040]	CRYL1	L-gulonate 3-dehydrogenase [EC:1.1.1.45]
K13248	multiple functions	multiple functions	multiple functions	PHOSPHO2	pyridoxal phosphate phosphatase PHOSPHO2 [EC:3.1.3.74]
K13249	genetic information processing	folding, sorting and degradation	protein processing in endoplasmic reticulum [path:ko04141]	SSR1	translocon-associated protein subunit alpha
K13250	genetic information processing	folding, sorting and degradation	protein processing in endoplasmic reticulum [path:ko04141]	SSR2	translocon-associated protein subunit beta
K13251	genetic information processing	folding, sorting and degradation	protein processing in endoplasmic reticulum [path:ko04141]	SSR3	translocon-associated protein subunit gamma
K13252	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	ptcA	putrescine carbamoyltransferase [EC:2.1.3.6]
K13254	brite hierarchies	protein families: genetic information processing	membrane trafficking [br:ko04131]	SPAST	spastin [EC:5.6.1.1]
K13255	not included in pathway or brite	poorly characterized	general function prediction only	fhuF	ferric iron reductase protein FhuF
K13256	not included in pathway or brite	poorly characterized	general function prediction only	psiE	protein PsiE
K13257	multiple functions	multiple functions	multiple functions	CYP93C	2-hydroxyisoflavanone synthase [EC:1.14.14.87]
K13258	metabolism	biosynthesis of other secondary metabolites	isoflavonoid biosynthesis [path:ko00943]	HIDH	2-hydroxyisoflavanone dehydratase [EC:4.2.1.105]
K13259	metabolism	biosynthesis of other secondary metabolites	isoflavonoid biosynthesis [path:ko00943]	HI4OMT	2,7,4'-trihydroxyisoflavanone 4'-O-methyltransferase / isoflavone 4'-O-methyltransferase [EC:2.1.1.212 2.1.1.46]
K13260	multiple functions	multiple functions	multiple functions	CYP81E	isoflavone/4'-methoxyisoflavone 2'-hydroxylase [EC:1.14.14.90 1.14.14.89]
K13261	multiple functions	multiple functions	multiple functions	CYP93A1	3,9-dihydroxypterocarpan 6a-monooxygenase [EC:1.14.14.93]
K13262	metabolism	biosynthesis of other secondary metabolites	isoflavonoid biosynthesis [path:ko00943]	7-IOMT	isoflavone-7-O-methyltransferase [EC:2.1.1.150]
K13263	metabolism	biosynthesis of other secondary metabolites	isoflavonoid biosynthesis [path:ko00943]	IF7GT	isoflavone 7-O-glucosyltransferase [EC:2.4.1.170]
K13264	metabolism	biosynthesis of other secondary metabolites	general biosynthesis of other secondary metabolites	IF7MAT	isoflavone 7-O-glucoside-6''-O-malonyltransferase [EC:2.3.1.115]
K13265	metabolism	biosynthesis of other secondary metabolites	isoflavonoid biosynthesis [path:ko00943]	VR	vestitone reductase [EC:1.1.1.348]
K13266	metabolism	biosynthesis of other secondary metabolites	isoflavonoid biosynthesis [path:ko00943]	PTR	pterocarpan reductase [EC:1.23.1.-]
K13267	multiple functions	multiple functions	multiple functions	CYP71D9, F6H	flavonoid 6-hydroxylase [EC:1.14.13.-]
K13269	metabolism	biosynthesis of other secondary metabolites	flavone and flavonol biosynthesis [path:ko00944]	E2.4.1.234	kaempferol 3-O-beta-D-galactosyltransferase [EC:2.4.1.234]
K13270	metabolism	biosynthesis of other secondary metabolites	flavone and flavonol biosynthesis [path:ko00944]	E2.8.2.25	flavonol 3-sulfotransferase [EC:2.8.2.25]
K13271	metabolism	biosynthesis of other secondary metabolites	flavone and flavonol biosynthesis [path:ko00944]	E2.8.2.27	flavonol 4'-sulfotransferase [EC:2.8.2.27]
K13272	metabolism	biosynthesis of other secondary metabolites	flavone and flavonol biosynthesis [path:ko00944]	AOMT, CROMT2	flavonoid O-methyltransferase [EC:2.1.1.267]
K13273	multiple functions	multiple functions	multiple functions	PMVK	phosphomevalonate kinase [EC:2.7.4.2]
K13274	brite hierarchies	general brite hierarchies	general brite hierarchies	wprA	cell wall-associated protease [EC:3.4.21.-]
K13275	brite hierarchies	general brite hierarchies	general brite hierarchies	isp	major intracellular serine protease [EC:3.4.21.-]
K13276	brite hierarchies	general brite hierarchies	general brite hierarchies	bpr	bacillopeptidase F [EC:3.4.21.-]
K13277	brite hierarchies	general brite hierarchies	general brite hierarchies	epr	minor extracellular protease Epr [EC:3.4.21.-]
K13278	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	ASPG	60kDa lysophospholipase [EC:3.1.1.5 3.1.1.47 3.5.1.1]
K13279	multiple functions	multiple functions	multiple functions	PRDX1	peroxiredoxin 1 [EC:1.11.1.24]
K13280	multiple functions	multiple functions	multiple functions	SEC11, sipW	signal peptidase I [EC:3.4.21.89]
K13281	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	uvsE, UVE1	UV DNA damage endonuclease [EC:3.-.-.-]
K13282	brite hierarchies	protein families: metabolism	peptidases and inhibitors [br:ko01002]	cphB	cyanophycinase [EC:3.4.15.6]
K13283	brite hierarchies	protein families: signaling and cellular processes	transporters [br:ko02000]	fieF	ferrous-iron efflux pump FieF
K13284	multiple functions	multiple functions	multiple functions	sipA, ipaA	invasin A
K13285	multiple functions	multiple functions	multiple functions	sipB, ipaB, bipB	invasin B
K13286	multiple functions	multiple functions	multiple functions	sipC, ipaC, bipC	invasin C
K13287	multiple functions	multiple functions	multiple functions	sipD, ipaD, bipD	invasin D
K13288	multiple functions	multiple functions	multiple functions	orn, REX2, REXO2	oligoribonuclease [EC:3.1.-.-]
K13289	multiple functions	multiple functions	multiple functions	CTSA, CPY	cathepsin A (carboxypeptidase C) [EC:3.4.16.5]
K13290	metabolism	amino acid metabolism	glycine, serine and threonine metabolism [path:ko00260]	K13290	serine---pyruvate transaminase [EC:2.6.1.51]
K13291	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	TUT	terminal uridylyltransferase [EC:2.7.7.52]
K13292	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	lgt, umpA	phosphatidylglycerol---prolipoprotein diacylglyceryl transferase [EC:2.5.1.145]
K13293	multiple functions	multiple functions	multiple functions	PDE4	cAMP-specific phosphodiesterase 4 [EC:3.1.4.53]
K13294	metabolism	nucleotide metabolism	purine metabolism [path:ko00230]	PDEB2, PDE2B	cAMP-specific phosphodiesterase [EC:3.1.4.53]
K13295	brite hierarchies	protein families: genetic information processing	dna repair and recombination proteins [br:ko03400]	APLF	aprataxin and PNK-like factor [EC:4.2.99.18]
K13296	multiple functions	multiple functions	multiple functions	PDE3B	cGMP-inhibited 3',5'-cyclic phosphodiesterase B [EC:3.1.4.17]
K13297	brite hierarchies	protein families: metabolism	protein phosphatases and associated proteins [br:ko01009]	PTPRT	receptor-type tyrosine-protein phosphatase T [EC:3.1.3.48]
K13298	multiple functions	multiple functions	multiple functions	PDE11	dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11 [EC:3.1.4.17 3.1.4.35]
K13299	multiple functions	multiple functions	multiple functions	GSTK1	glutathione S-transferase kappa 1 [EC:2.5.1.18]
K13300	not included in pathway or brite	unclassified: metabolism	energy metabolism	cccA	cytochrome c550
K13301	multiple functions	multiple functions	multiple functions	secM	secretion monitor
K13302	multiple functions	multiple functions	multiple functions	SGK1	serum/glucocorticoid-regulated kinase 1 [EC:2.7.11.1]
K13303	multiple functions	multiple functions	multiple functions	SGK2	serum/glucocorticoid-regulated kinase 2 [EC:2.7.11.1]
K13304	multiple functions	multiple functions	multiple functions	SGK3	serum/glucocorticoid-regulated kinase 3 [EC:2.7.11.1]
K13305	multiple functions	multiple functions	multiple functions	NEDD4L	E3 ubiquitin-protein ligase NEDD4-like [EC:2.3.2.26]
K13306	metabolism	general metabolism	general metabolism	fcd	dTDP-4-dehydro-6-deoxyglucose reductase [EC:1.1.1.266]
K13307	metabolism	metabolism of terpenoids and polyketides	polyketide sugar unit biosynthesis [path:ko00523]	tylMI	dTDP-3-amino-3,6-dideoxy-alpha-D-glucopyranose N,N-dimethyltransferase [EC:2.1.1.235]
K13308	metabolism	metabolism of terpenoids and polyketides	polyketide sugar unit biosynthesis [path:ko00523]	desI, eryCIV	dTDP-4-amino-4,6-dideoxy-D-glucose transaminase [EC:2.6.1.33]
K13309	metabolism	metabolism of terpenoids and polyketides	polyketide sugar unit biosynthesis [path:ko00523]	desII, eryCV	dTDP-4-amino-4,6-dideoxy-D-glucose ammonia-lyase [EC:4.3.1.30]
K13310	metabolism	metabolism of terpenoids and polyketides	polyketide sugar unit biosynthesis [path:ko00523]	desV, eryCI	dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose transaminase [EC:2.6.1.106]
K13311	metabolism	metabolism of terpenoids and polyketides	polyketide sugar unit biosynthesis [path:ko00523]	desVI, eryCVI	dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucopyranose N,N-dimethyltransferase [EC:2.1.1.234]
K13312	metabolism	metabolism of terpenoids and polyketides	polyketide sugar unit biosynthesis [path:ko00523]	tylJ, gerF	dTDP-4-dehydro-6-deoxy-D-glucose 3-epimerase [EC:5.1.3.27]
K13313	metabolism	metabolism of terpenoids and polyketides	polyketide sugar unit biosynthesis [path:ko00523]	tylD, gerKI, mydI	dTDP-4-dehydro-6-deoxy-alpha-D-gulose 4-ketoreductase [EC:1.1.1.364]
K13315	metabolism	metabolism of terpenoids and polyketides	polyketide sugar unit biosynthesis [path:ko00523]	eryBII, tylCII, tylC1, calS12, atmS12	NDP-hexose C3-ketoreductase / dTDP-4-oxo-2-deoxy-alpha-D-pentos-2-ene 2,3-reductase [EC:1.1.1.-]
K13316	metabolism	metabolism of terpenoids and polyketides	polyketide sugar unit biosynthesis [path:ko00523]	tylCVII, tylK	NDP-hexose 5-epimerase [EC:5.1.3.-]
K13317	metabolism	metabolism of terpenoids and polyketides	polyketide sugar unit biosynthesis [path:ko00523]	eryBIII, tylCIII, tylC3	NDP-4-keto-2,6-dideoxyhexose 3-C-methyltransferase [EC:2.1.1.-]
K13318	metabolism	metabolism of terpenoids and polyketides	polyketide sugar unit biosynthesis [path:ko00523]	eryBIV, tylCIV, tylC2	dTDP-4-keto-6-deoxy-L-hexose 4-reductase [EC:1.1.1.-]
K13319	metabolism	metabolism of terpenoids and polyketides	polyketide sugar unit biosynthesis [path:ko00523]	oleU	4-ketoreductase
K13320	metabolism	metabolism of terpenoids and polyketides	biosynthesis of 12-, 14- and 16-membered macrolides [path:ko00522]	oleY	L-olivosyl-oleandolide 3-O-methyltransferase [EC:2.1.1.239]
K13322	metabolism	metabolism of terpenoids and polyketides	polyketide sugar unit biosynthesis [path:ko00523]	megDV	dTDP-4-keto-6-deoxyhexose 4-ketoreductase
K13326	metabolism	metabolism of terpenoids and polyketides	polyketide sugar unit biosynthesis [path:ko00523]	megDIII	dTDP-3-amino-2,3,6-trideoxy-4-keto-D-glucose/dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucopyranose N,N-dimethyltransferase [EC:2.1.1.- 2.1.1.234]
K13327	metabolism	metabolism of terpenoids and polyketides	polyketide sugar unit biosynthesis [path:ko00523]	spnN, oleW	dTDP-3,4-didehydro-2,6-dideoxy-alpha-D-glucose 3-reductase [EC:1.1.1.384]
K13328	metabolism	metabolism of terpenoids and polyketides	polyketide sugar unit biosynthesis [path:ko00523]	spnQ	dTDP-4-dehydro-2,6-dideoxy-D-glucose 3-dehydratase [EC:4.2.1.164]
K13329	multiple functions	multiple functions	multiple functions	spnR	dTDP-4-dehydro-2,3,6-trideoxy-D-glucose 4-aminotransferase [EC:2.6.1.110]
K13330	metabolism	metabolism of terpenoids and polyketides	polyketide sugar unit biosynthesis [path:ko00523]	spnS	dTDP-4-amino-2,3,4,6-tetradeoxy-D-glucose N,N-dimethyltransferase [EC:2.1.1.324]
K13331	brite hierarchies	protein families: metabolism	amino acid related enzymes [br:ko01007]	angB	NDP-deoxyhexose 3-aminotransferase
K13332	metabolism	metabolism of terpenoids and polyketides	polyketide sugar unit biosynthesis [path:ko00523]	angMI	N,N-dimethyltransferase
K13333	metabolism	lipid metabolism	glycerophospholipid metabolism [path:ko00564]	PLB	lysophospholipase [EC:3.1.1.5]
K13334	brite hierarchies	protein families: signaling and cellular processes	lectins [br:ko04091]	CLC	eosinophil lysophospholipase (galectin-10) [EC:3.1.1.5]
K13335	cellular processes	transport and catabolism	peroxisome [path:ko04146]	PEX16	peroxin-16
K13336	multiple functions	multiple functions	multiple functions	PEX3	peroxin-3
K13337	cellular processes	transport and catabolism	peroxisome [path:ko04146]	PEX19	peroxin-19
K13338	multiple functions	multiple functions	multiple functions	PEX1	peroxin-1
K13339	multiple functions	multiple functions	multiple functions	PEX6, PXAAA1	peroxin-6
K13340	cellular processes	transport and catabolism	peroxisome [path:ko04146]	PEX26	peroxin-26
K13341	cellular processes	transport and catabolism	peroxisome [path:ko04146]	PEX7, PTS2R	peroxin-7
K13342	multiple functions	multiple functions	multiple functions	PEX5, PXR1	peroxin-5
K13343	multiple functions	multiple functions	multiple functions	PEX14	peroxin-14
K13344	cellular processes	transport and catabolism	peroxisome [path:ko04146]	PEX13	peroxin-13
K13345	multiple functions	multiple functions	multiple functions	PEX12, PAF3	peroxin-12
K13346	multiple functions	multiple functions	multiple functions	PEX10	peroxin-10
K13347	cellular processes	transport and catabolism	peroxisome [path:ko04146]	PXMP2, PMP22	peroxisomal membrane protein 2
K13348	cellular processes	transport and catabolism	peroxisome [path:ko04146]	MPV17	protein Mpv17
K13349	cellular processes	transport and catabolism	peroxisome [path:ko04146]	MPV17L	Mpv17-like protein
K13350	cellular processes	transport and catabolism	peroxisome [path:ko04146]	PXMP4, PMP24	peroxisomal membrane protein 4
K13351	multiple functions	multiple functions	multiple functions	PEX11A	peroxin-11A
K13352	multiple functions	multiple functions	multiple functions	PEX11B	peroxin-11B
K13353	multiple functions	multiple functions	multiple functions	PEX11C	peroxin-11C
K13354	multiple functions	multiple functions	multiple functions	SLC25A17, PMP34	solute carrier family 25 (peroxisomal adenine nucleotide transporter), member 17
K13355	cellular processes	transport and catabolism	peroxisome [path:ko04146]	NUDT19	nucleoside diphosphate-linked moiety X motif 19, mitochondrial [EC:3.6.1.-]
K13356	multiple functions	multiple functions	multiple functions	FAR	alcohol-forming fatty acyl-CoA reductase [EC:1.2.1.84]
K13357	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	SPO1	putative meiotic phospholipase SPO1 [EC:3.1.1.-]
K13358	multiple functions	multiple functions	multiple functions	SLC9A3R2, NHERF2	sodium/hydrogen exchange regulatory cofactor NHE-RF2
K13359	multiple functions	multiple functions	multiple functions	FXYD4, CHIF	FXYD domain containing ion transport regulator 4
K13360	multiple functions	multiple functions	multiple functions	FXYD1, PLM	FXYD domain-containing ion transport regulator 1
K13361	brite hierarchies	protein families: signaling and cellular processes	transporters [br:ko02000]	FXYD3, MAT8	FXYD domain-containing ion transport regulator 3
K13362	brite hierarchies	protein families: signaling and cellular processes	transporters [br:ko02000]	FXYD5, DYSAD	FXYD domain-containing ion transport regulator 5
K13363	brite hierarchies	protein families: signaling and cellular processes	transporters [br:ko02000]	FXYD6	FXYD domain-containing ion transport regulator 6
K13364	brite hierarchies	protein families: genetic information processing	membrane trafficking [br:ko04131]	FXYD7	FXYD domain-containing ion transport regulator 7
K13365	multiple functions	multiple functions	multiple functions	SLC9A3R1, NHERF1	sodium/hydrogen exchange regulatory cofactor NHE-RF1
K13366	metabolism	general metabolism	general metabolism	MPAO, PAO1	polyamine oxidase [EC:1.5.3.14 1.5.3.16 1.5.3.-]
K13367	metabolism	general metabolism	general metabolism	FMS1	polyamine oxidase [EC:1.5.3.17]
K13368	multiple functions	multiple functions	multiple functions	HSD17B2	17beta-estradiol 17-dehydrogenase / 3alpha(17beta)-hydroxysteroid dehydrogenase (NAD+) [EC:1.1.1.62 1.1.1.239]
K13369	metabolism	general metabolism	general metabolism	HSD17B6	17beta-estradiol 17-dehydrogenase / all-trans-retinol dehydrogenase (NAD+) / 3alpha(17beta)-hydroxysteroid dehydrogenase (NAD+) [EC:1.1.1.62 1.1.1.105 1.1.1.239]
K13370	metabolism	lipid metabolism	general lipid metabolism	HSD17B8	17beta-estradiol 17-dehydrogenase / 3alpha(17beta)-hydroxysteroid dehydrogenase (NAD+) / 3-oxoacyl-[acyl-carrier protein] reductase alpha subunit [EC:1.1.1.62 1.1.1.239]
K13371	metabolism	general metabolism	general metabolism	aauA	aralkylamine dehydrogenase light chain [EC:1.4.9.2]
K13372	metabolism	general metabolism	general metabolism	aauB	aralkylamine dehydrogenase heavy chain [EC:1.4.9.2]
K13373	multiple functions	multiple functions	multiple functions	HSD17B7	17beta-estradiol 17-dehydrogenase / 3beta-hydroxysteroid 3-dehydrogenase [EC:1.1.1.62 1.1.1.270]
K13374	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	AKR1C13	aldo-keto reductase family 1 member C13 [EC:1.1.1.218]
K13375	multiple functions	multiple functions	multiple functions	TGFB1	transforming growth factor beta-1
K13376	multiple functions	multiple functions	multiple functions	TGFB2	transforming growth factor beta-2
K13377	multiple functions	multiple functions	multiple functions	TGFB3	transforming growth factor beta-3
K13378	metabolism	energy metabolism	oxidative phosphorylation [path:ko00190]	nuoCD	NADH-quinone oxidoreductase subunit C/D [EC:7.1.1.2]
K13379	multiple functions	multiple functions	multiple functions	RGP, UTM	reversibly glycosylated polypeptide / UDP-arabinopyranose mutase [EC:2.4.1.- 5.4.99.30]
K13380	metabolism	energy metabolism	oxidative phosphorylation [path:ko00190]	nuoBCD	NADH-quinone oxidoreductase subunit B/C/D [EC:7.1.1.2]
K13381	metabolism	carbohydrate metabolism	amino sugar and nucleotide sugar metabolism [path:ko00520]	chiA	bifunctional chitinase/lysozyme [EC:3.2.1.14 3.2.1.17]
K13382	metabolism	biosynthesis of other secondary metabolites	isoquinoline alkaloid biosynthesis [path:ko00950]	NCS	(S)-norcoclaurine synthase [EC:4.2.1.78]
K13383	metabolism	biosynthesis of other secondary metabolites	isoquinoline alkaloid biosynthesis [path:ko00950]	E2.1.1.128	(RS)-norcoclaurine 6-O-methyltransferase [EC:2.1.1.128]
K13384	metabolism	biosynthesis of other secondary metabolites	isoquinoline alkaloid biosynthesis [path:ko00950]	CNMT	(RS)-1-benzyl-1,2,3,4-tetrahydroisoquinoline N-methyltransferase [EC:2.1.1.115 2.1.1.140]
K13385	multiple functions	multiple functions	multiple functions	CYP80B1	N-methylcoclaurine 3'-monooxygenase [EC:1.14.14.102]
K13386	metabolism	biosynthesis of other secondary metabolites	isoquinoline alkaloid biosynthesis [path:ko00950]	E2.1.1.116	3'-hydroxy-N-methyl-(S)-coclaurine 4'-O-methyltransferase [EC:2.1.1.116]
K13387	multiple functions	multiple functions	multiple functions	CYP80A1	berbamunine synthase [EC:1.14.19.66]
K13389	multiple functions	multiple functions	multiple functions	CYP80G2	(S)-corytuberine synthase [EC:1.14.19.51]
K13390	metabolism	biosynthesis of other secondary metabolites	isoquinoline alkaloid biosynthesis [path:ko00950]	PSOMT1	(R,S)-reticuline 7-O-methyltransferase [EC:2.1.1.291]
K13391	multiple functions	multiple functions	multiple functions	CYP719B1	salutaridine synthase [EC:1.14.19.67]
K13392	metabolism	biosynthesis of other secondary metabolites	isoquinoline alkaloid biosynthesis [path:ko00950]	SALR	salutaridine reductase (NADPH) [EC:1.1.1.248]
K13393	metabolism	biosynthesis of other secondary metabolites	isoquinoline alkaloid biosynthesis [path:ko00950]	SALAT	salutaridinol 7-O-acetyltransferase [EC:2.3.1.150]
K13394	metabolism	biosynthesis of other secondary metabolites	isoquinoline alkaloid biosynthesis [path:ko00950]	COR1	codeinone reductase [EC:1.1.1.247]
K13395	multiple functions	multiple functions	multiple functions	CYP719A1_2_3_13	(S)-stylopine/(S)-canadine/(S)-nandinine synthase [EC:1.14.19.64 1.14.19.68 1.14.19.73]
K13396	metabolism	biosynthesis of other secondary metabolites	isoquinoline alkaloid biosynthesis [path:ko00950]	E2.1.1.122	(S)-tetrahydroprotoberberine N-methyltransferase [EC:2.1.1.122]
K13397	metabolism	biosynthesis of other secondary metabolites	isoquinoline alkaloid biosynthesis [path:ko00950]	SMT	(S)-scoulerine 9-O-methyltransferase [EC:2.1.1.117]
K13398	metabolism	biosynthesis of other secondary metabolites	isoquinoline alkaloid biosynthesis [path:ko00950]	E2.1.1.118	columbamine O-methyltransferase [EC:2.1.1.118]
K13400	multiple functions	multiple functions	multiple functions	CYP72A1	secologanin synthase [EC:1.14.19.62]
K13401	multiple functions	multiple functions	multiple functions	CYP79D1_2	valine N-monooxygenase [EC:1.14.14.38]
K13402	metabolism	metabolism of cofactors and vitamins	one carbon pool by folate [path:ko00670]	MTHFD1L	monofunctional C1-tetrahydrofolate synthase, mitochondrial [EC:6.3.4.3]
K13403	metabolism	metabolism of cofactors and vitamins	one carbon pool by folate [path:ko00670]	MTHFD2	methylenetetrahydrofolate dehydrogenase(NAD+) / 5,10-methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.15 3.5.4.9]
K13404	brite hierarchies	protein families: metabolism	cytochrome p450 [br:ko00199]	CYP76B1	7-ethoxycoumarin O-deethylase [EC:1.14.-.-]
K13405	brite hierarchies	protein families: metabolism	cytochrome p450 [br:ko00199]	CYP82B1	(S)-N-methylcoclaurine 3'-hydroxylase
K13406	brite hierarchies	protein families: metabolism	cytochrome p450 [br:ko00199]	CYP93B1	flavanone 2-hydroxylase [EC:1.14.14.162]
K13407	multiple functions	multiple functions	multiple functions	CYP94A1	fatty acid omega-hydroxylase [EC:1.14.-.-]
K13408	multiple functions	multiple functions	multiple functions	cvaA, mchE, raxA	membrane fusion protein
K13409	multiple functions	multiple functions	multiple functions	cvaB, mchF, raxB	ATP-binding cassette, subfamily B, bacterial CvaB/MchF/RaxB
K13411	multiple functions	multiple functions	multiple functions	DUOX, THOX	dual oxidase [EC:1.6.3.1 1.11.1.-]
K13412	multiple functions	multiple functions	multiple functions	CPK	calcium-dependent protein kinase [EC:2.7.11.1]
K13413	multiple functions	multiple functions	multiple functions	MKK4_5	mitogen-activated protein kinase kinase 4/5 [EC:2.7.12.2]
K13414	multiple functions	multiple functions	multiple functions	MEKK1	mitogen-activated protein kinase kinase kinase 1 [EC:2.7.11.25]
K13415	multiple functions	multiple functions	multiple functions	BRI1	protein brassinosteroid insensitive 1 [EC:2.7.10.1 2.7.11.1]
K13416	multiple functions	multiple functions	multiple functions	BAK1	brassinosteroid insensitive 1-associated receptor kinase 1 [EC:2.7.10.1 2.7.11.1]
